,TGL,MX350,render pass
0,249,466,MeshSkinning.SkinOnGPU
1,5,32,Clear
2,11,45,RenderForward.RenderLoopJob
3,25,14,Clear
4,2,14,Camera.Render
5,9,54,Clear
6,65,64,RenderDeferred.GBuffer
7,4303,4111,QuadTreeBatchNode.Render
8,19929,41467,RenderDeferred.GBuffer
9,53,116,ForwardGBufferPass
10,70,139,DepthPass.Job
11,408,361,RenderDeferred.CopyDepth
12,9,6,RenderDeferred.Reflections
13,1563,883,Deferred decals
14,80,123,RenderDeferred.ReflectionsToEmissive
15,211,240,PreLight
16,1287,703,RenderDeferred.Light
17,705,577,RenderForward.RenderLoopJob
18,37,34,Water Rendering
19,381,268,Render.MotionVectors
20,227,670,MotionVector.RenderJob
21,512,366,Opaque Only Post-processing
22,4514,3998,OpaqueOnly
23,700,2265,RenderForward.RenderLoopJob
24,475,390,Post-processing
25,31,29,HdrColorGradingLut3D
26,566,409,BuiltinStack
27,2290,1644,AfterStack
28,634,399,FinalPass
29,2070,1261,VolumetricLightRenderer
30,695,407,PostProcessLayer
31,95,63,RenderDeferred.GBuffer
32,926,240,RenderDeferred.CopyDepth
33,8,8,RenderDeferred.Reflections
34,72,124,RenderDeferred.ReflectionsToEmissive
35,34,56,RenderDeferred.Light
36,446,1500,Canvas.RenderSubBatch
37,530,307,Camera.ImageEffects
38,58,18,UGUI.Rendering.RenderOverlays
39,15,31,GUITexture.Draw
40,20,85,GUI.Repaint
41,4,19,GUITexture.Draw
42,4,17,GUI.Repaint
43,4,19,GUITexture.Draw
44,4,17,GUI.Repaint
45,4,19,GUITexture.Draw
46,4,17,GUI.Repaint
47,5,18,GUITexture.Draw
48,387,200,...
